name,name_lower,genre,actor,director,country,year,link
Сестры по крови,сестры по крови,['драма'],"['диего луна', 'виктория абриль', 'ариадна хиль', 'пилар лопес де айяла']",['агустин диас янес'],"['испания', 'мексика']",2008,https://www.imdb.com/title/tt1078600/
Пришельцы в Америке,пришельцы в америке,"['фантастика', 'фэнтези', 'комедия']","['жан рено', 'кристина эпплгейт']",['жан-мари пуаре'],[],2001,https://www.imdb.com/title/tt0189192/
Кето и Котэ,кето и котэ,['комедия'],"['медея джапаридзе', 'бату кравайшвили', 'тамара чавчавадзе']","['вахтанг таблиашвили', 'шалва гедеванишвили']",['ссср'],1948,https://www.imdb.com/title/tt0045957/
Кавказская пленница!,кавказская пленница!,['комедия'],"['дмитрий шаракоис', 'анастасия задорожная', 'семён стругачёв', 'николай добрынин', 'сергей степанченко', 'геннадий хазанов']",['максим воронков'],['россия'],2014,https://www.imdb.com/title/tt4537362/
Грозовой перевал,грозовой перевал,"['драма', 'мелодрама', 'музыкальный']","['эрика кристенсен', 'майк фогель']",['рус.'],['сша'],2003,https://www.imdb.com/title/tt0367245/
Уайетт Эрп,уайетт эрп,"['вестерн', 'биография']","['кевин костнер', 'деннис куэйд', 'джин хэкмэн', 'билл пуллман', 'джоанна гоинг']",['лоуренс кэздан'],['сша'],1994,https://www.imdb.com/title/tt0111756/
Грозовой перевал,грозовой перевал,"['драма', 'мелодрама']",['кая скоделарио'],['андреа арнольд'],['великобритания'],2011,https://www.imdb.com/title/tt1181614/
Грозовой перевал,грозовой перевал,['мелодрама'],"['мерл оберон', 'лоренс оливье']",['уильям уайлер'],['сша'],1939,https://www.imdb.com/title/tt0032145/
Грозовой перевал,грозовой перевал,"['драма', 'любовная история']","['рус.', 'рус.']",['луис бунюэль'],['мексика'],1953,https://www.imdb.com/title/tt0046675/
Грозовой перевал,грозовой перевал,['драма'],"['рус.', 'колетт бреттель']",['а. в. брамбл'],['великобритания'],1920,https://www.imdb.com/title/tt0011886/
Грозовой перевал,грозовой перевал,"['драма', 'любовная история']","['тимоти далтон', 'рус.']",['рус.'],['великобритания'],1970,https://www.imdb.com/title/tt0066585/
Вереск,вереск,['мелодрама'],"['франтишек бродневич', 'станислава ангель-энгелювна']",['юлиуш гардан'],['польша'],1938,https://www.imdb.com/title/tt0153960/
Без вины виноватый,без вины виноватый,"['боевик', 'комедия']","['лесли нильсен', 'ричард кренна', 'келли леброк']",['пэт профт'],"['сша', 'германия']",1998,https://www.imdb.com/title/tt0120901/
Поворот с Тахо,поворот с тахо,"['криминальный фильм', 'триллер']","['кьюба гудинг мл.', 'мигель феррер', 'харви кейтель']",['фрэнк халфоун'],['сша'],2009,https://www.imdb.com/title/tt1393000/
Поворот не туда 7: Наследие,поворот не туда 7: наследие,['ужасы'],"['мэттью модайн', 'билл сейдж']",['майк п нельсон'],"['сша', 'германия', 'канада']",2021,https://www.imdb.com/title/tt9110170/
Изнанка города,изнанка города,"['боевик', 'криминальный фильм']","['роб ван дам', 'дэйв батиста', 'джерри кац', 'джа рул']",['дэвид дефалко'],['сша'],2010,https://www.imdb.com/title/tt1431191/
Хроники обыкновенного безумия,хроники обыкновенного безумия,"['комедия', 'драма']","['иван троян', 'zuzana šulajová', 'зузана стивинова', 'мирослав кробот', 'nina divíšková', 'karel hermánek']",['петр зеленка'],"['чехия', 'германия', 'словакия']",2005,https://www.imdb.com/title/tt0408120/
Неправый прав,неправый прав,['политический детектив'],['шон коннери'],['ричард брукс'],['сша'],1982,https://www.imdb.com/title/tt0084920/
Не тот,не тот,"['триллер', 'мелодрама']","['розанна аркетт', 'джон литгоу']",['джим макбрайд'],['сша'],1993,https://www.imdb.com/title/tt0108597/
Не та девушка,не та девушка,['романтическая комедия'],"['дэвид спейд', 'лорен лэпкус', 'ник свардсон', 'джефф пирсон', 'джеки сэндлер', 'сара чок', 'роб шнайдер', 'роман рейнс', 'молли симс', 'хорхе гарсиа', 'ванилла айс']",['тайлер спиндел'],['сша'],2020,https://www.imdb.com/title/tt9619798/
Скауты,скауты,['комедия'],[],['дэнни билсон'],['сша'],1988,https://www.imdb.com/title/tt0096466/
Обратная связь,обратная связь,['производственная драма'],"['олег янковский', 'михаил ульянов', 'кирилл лавров', 'людмила гурченко']",['виктор трегубович'],['ссср'],1977,https://www.imdb.com/title/tt0175982/
Неправильные копы,неправильные копы,"['кинокомедия', 'криминал']",['мэрилин мэнсон'],['квентин дюпьё'],"['франция', 'сша', 'россия']",2013,https://www.imdb.com/title/tt2166616/
"Слова, написанные на ветру","слова, написанные на ветру",['мелодрама'],"['рок хадсон', 'лорин бэколл']",['дуглас сирк'],['сша'],1956,https://www.imdb.com/title/tt0049966/
Неверно,неверно,"['драма', 'комедия']","['джек плотник', 'эрик жюдор', 'алексис дзена', 'уильям фихтнер']",['квентин дюпье'],['сша'],2012,https://www.imdb.com/title/tt1901040/
Излом времени,излом времени,"['научное фэнтези', 'приключения', 'семейный', 'мелодрама']","['опра уинфри', 'риз уизерспун', 'минди калинг', 'гугу мбата-роу', 'майкл пенья', 'зак галифианакис', 'крис пайн']",['ава дюверней'],['сша'],2018,https://www.imdb.com/title/tt1620680/
Самоубийцы: История любви,самоубийцы: история любви,['трагикомедия'],"['патрик фьюджит', 'шэннин соссамон', 'ши уигхэм']",['горан дукич'],['сша'],2006,https://www.imdb.com/title/tt0477139/
Рестлер,рестлер,['драма'],"['микки рурк', 'мариса томей']",['даррен аронофски'],"['сша', 'франция']",2008,https://www.imdb.com/title/tt1125849/
Команда разрушителей,команда разрушителей,['шпионский фильм'],"['дин мартин', 'шэрон тейт', 'нэнси кван']",['фил карлсон'],['сша'],1968,https://www.imdb.com/title/tt0065225/
Я боролся с Эрнестом Хемингуэем,я боролся с эрнестом хемингуэем,['мелодрама'],"['роберт дюваль', 'ричард харрис', 'ширли маклейн']",['рэнда хейнс'],['сша'],1993,https://www.imdb.com/title/tt0108596/
Борец и клоун,борец и клоун,['драма'],"['станислав чекан', '[1]', 'александр михайлов']","['константин юдин', 'борис барнет']",['ссср'],1957,https://www.imdb.com/title/tt0050206/
Гнев человеческий,гнев человеческий,"['боевик', 'триллер']","['джейсон стейтем', 'скотт иствуд', 'холт маккэлани', 'джеффри донован', 'лаз алонсо', 'джош хартнетт', 'нив алгар', 'рауль кастильо']",['гай ричи'],"['великобритания', 'сша']",2021,https://www.imdb.com/title/tt11083552/
Гнев титанов,гнев титанов,"['боевик', 'приключения', 'фэнтези']","['сэм уортингтон', 'лиам нисон', 'рэйф файнс', 'эдгар рамирес', 'тоби кеббел', 'розамунд пайк', 'билл найи']",['джонатан либесман'],['сша'],2012,https://www.imdb.com/title/tt1646987/
A Wreath in Time,a wreath in time,['комедия'],"['мак сеннет', 'флоренс лоуренс', 'линда арвидсон']",['дэвид уорк гриффит'],['сша'],1909,https://www.imdb.com/title/tt0001099/
Войцек,войцек,['драма'],"['клаус кински', 'эва маттес']",['вернер херцог'],['фрг'],1979,https://www.imdb.com/title/tt0080149/
Раненый человек,раненый человек,['кинодрама'],"['жан-юг англад', 'витторио меццоджорно', 'ролан бертен', 'лиза кройцер', 'клод берри', 'хамму грайя', 'армин мюллер-шталь']",['патрис шеро'],['франция'],1983,https://www.imdb.com/title/tt0084085/
Что бы вы сделали…,что бы вы сделали…,"['ужасы', 'триллер']","['бриттани сноу', 'джеффри комбс', 'лоренс гиллиард-мл.']",['дэвид гай леви'],['сша'],2012,https://www.imdb.com/title/tt1999995/
Лица смерти,лица смерти,"['документальный фильм', 'ужасы']",['майкл карр'],['джон алан швартц'],['сша'],1979,https://www.imdb.com/title/tt0077533/
Самая плохая ведьма,самая плохая ведьма,"['семейный фильм', 'фэнтези']","['дайана ригг', 'тим карри', 'файруза балк']",['роберт янг'],['великобритания'],1986,https://www.imdb.com/title/tt0092239/
Так сложно любить отаку,так сложно любить отаку,"['романтическая комедия', 'драматический фильм']",['кэнто ямадзаки'],['юити фукуда'],['япония'],2020,https://www.imdb.com/title/tt9018612/
